skill_id,skill_name,category,synonyms,description
1,Python,Programming Languages,"python|python3|py|python 3","High-level interpreted programming language renowned for AI, data science, and web development."
2,JavaScript,Programming Languages,"javascript|js|es6|es2020|ecmascript","Dynamic web scripting language ubiquitous for client-side and full-stack development."
3,TypeScript,Programming Languages,"typescript|ts","Statically typed superset of JavaScript adding type safety and enterprise scalability."
4,Java,Programming Languages,"java|java 8|java 11|java 17|java 21|core java|j2ee","Object-oriented language widely used for high-throughput enterprise systems and backend services."
5,C++,Programming Languages,"c++|cpp|c plus plus","High-performance compiled language used for systems engineering, games, and low-latency infrastructure."
6,C#,Programming Languages,"c#|csharp|c sharp|.net c#","Modern object-oriented language developed by Microsoft for .NET ecosystem applications."
7,SQL,Programming Languages,"sql|structured query language|ansi sql","Standard language for storing, querying, manipulating, and retrieving relational database records."
8,R,Programming Languages,"r language|r programming|r-project","Statistical programming language heavily used for academic research, bio-statistics, and data exploration."
9,Go,Programming Languages,"go|golang","Fast, statically typed compiled language designed for concurrency and scalable microservices."
10,Rust,Programming Languages,"rust|rustlang","Memory-safe, high-concurrency systems programming language without garbage collection."
11,PHP,Programming Languages,"php|php8|modern php","Server-side scripting language primarily powering content management systems and web backends."
12,Ruby,Programming Languages,"ruby|ruby 3","Dynamic, object-oriented language designed for programmer productivity and web development."
13,Swift,Programming Languages,"swift|swift5","Modern language developed by Apple for native iOS, macOS, and iPadOS application development."
14,Kotlin,Programming Languages,"kotlin","Modern JVM language officially recommended for native Android application development."
15,Scala,Programming Languages,"scala","Functional and object-oriented language commonly used with Apache Spark for distributed data pipelines."
16,HTML5,Programming Languages,"html|html5|hypertext markup language","Standard markup language for structuring documents displayed in web browsers."
17,CSS3,Programming Languages,"css|css3|cascading style sheets","Style sheet language used for presenting and styling modern responsive web layouts."
18,Bash,Programming Languages,"bash|shell|shell scripting|sh|zsh","Command-line Unix shell and scripting language for operating system automation."
19,PowerShell,Programming Languages,"powershell|ps1|pwsh","Task automation and configuration management framework developed by Microsoft."
20,Solidity,Programming Languages,"solidity","Object-oriented smart contract programming language for Ethereum Virtual Machine."

21,React,Frameworks & Libraries,"react|reactjs|react.js|react 18","Declarative component-based JavaScript library for building responsive interactive user interfaces."
22,Next.js,Frameworks & Libraries,"next.js|nextjs|next 14|next 15","Production React framework offering server-side rendering, static generation, and API routes."
23,Vue.js,Frameworks & Libraries,"vue|vuejs|vue.js|vue 3","Progressive JavaScript framework for building user interfaces and single-page applications."
24,Angular,Frameworks & Libraries,"angular|angularjs|angular 17|angular 18","TypeScript-based open-source web application platform developed by Google."
25,Node.js,Frameworks & Libraries,"node.js|nodejs|node|node runtime","Asynchronous event-driven JavaScript runtime environment executing JS on the server."
26,Express.js,Frameworks & Libraries,"express|expressjs|express.js","Fast, unopinionated, minimalist web framework for Node.js backend development."
27,Django,Frameworks & Libraries,"django|django rest framework|drf","High-level Python web framework encouraging rapid development and clean, pragmatic design."
28,FastAPI,Frameworks & Libraries,"fastapi|fast api","Modern, fast web framework for building APIs with Python based on standard type hints."
29,Flask,Frameworks & Libraries,"flask|flask-restful","Lightweight WSGI Python micro web framework designed for modularity and ease of use."
30,Spring Boot,Frameworks & Libraries,"spring boot|spring framework|spring|spring mvc","Enterprise Java framework for building stand-alone, production-grade Spring microservices."
31,.NET Core,Frameworks & Libraries,".net|.net core|asp.net|asp.net core|dot net","Cross-platform, open-source framework developed by Microsoft for modern cloud applications."
32,Ruby on Rails,Frameworks & Libraries,"rails|ruby on rails|ror","Full-stack web application framework following the Model-View-Controller (MVC) pattern."
33,Tailwind CSS,Frameworks & Libraries,"tailwind|tailwindcss|tailwind css","Utility-first CSS framework for rapid modern UI design and styled components."
34,Bootstrap,Frameworks & Libraries,"bootstrap|bootstrap 5","Popular HTML, CSS, and JS library for building responsive, mobile-first web projects."
35,GraphQL,Frameworks & Libraries,"graphql|apollo graphql","Query language for APIs and runtime for fulfilling queries with existing structured data."
36,REST API,Frameworks & Libraries,"rest|restful|rest api|rest apis|restful web services","Architectural style for designing networked applications and standard HTTP web services."
37,Redux,Frameworks & Libraries,"redux|redux toolkit|rtk","Predictable state container for JavaScript applications, commonly paired with React."
38,jQuery,Frameworks & Libraries,"jquery","Classic fast, small, and feature-rich JavaScript DOM manipulation library."
39,Hibernate,Frameworks & Libraries,"hibernate|jpa|hibernate orm","Object-relational mapping (ORM) library for the Java programming language."
40,Sass,Frameworks & Libraries,"sass|scss","CSS pre-processor adding variables, nesting, mixins, and mathematical functions."

41,PostgreSQL,Databases,"postgresql|postgres|psql|pgsql","Powerful, open-source object-relational database system with advanced indexing and ACID compliance."
42,MySQL,Databases,"mysql|mariadb","Popular open-source relational database management system powering enterprise web applications."
43,MongoDB,Databases,"mongodb|mongo|nosql mongodb","Leading document-oriented NoSQL database for flexible JSON-like document storage."
44,Redis,Databases,"redis|redis cache|in-memory db","In-memory data structure store used as a distributed cache, message broker, and database."
45,SQLite,Databases,"sqlite|sqlite3","C-language library implementing a small, fast, self-contained, high-reliability SQL database."
46,Oracle Database,Databases,"oracle|oracle db|pl/sql|oracle sql","Multi-model database management system widely utilized in enterprise financial infrastructure."
47,Microsoft SQL Server,Databases,"mssql|sql server|t-sql|ms sql server","Relational database management system developed by Microsoft with robust BI capabilities."
48,Elasticsearch,Databases,"elasticsearch|elastic search|elk stack","Distributed, RESTful search and analytics engine for full-text search and log analytics."
49,Cassandra,Databases,"cassandra|apache cassandra","Highly scalable distributed NoSQL database designed for high availability and zero single-point of failure."
50,DynamoDB,Databases,"dynamodb|aws dynamodb","Fully managed serverless key-value and document NoSQL database provided by AWS."
51,Firebase,Databases,"firebase|firestore|firebase realtime db","Backend-as-a-service platform offering real-time NoSQL database and auth tools."
52,Neo4j,Databases,"neo4j|graph database","Native graph database platform designed to store and query interconnected relationship data."
53,Snowflake,Databases,"snowflake|snowflake data warehouse","Cloud-based data-warehousing platform enabling elastic compute and instant scaling."
54,BigQuery,Databases,"bigquery|google bigquery","Fully-managed, serverless enterprise data warehouse for analytics on petabytes of data."
55,Amazon Redshift,Databases,"redshift|aws redshift","Fast, fully managed, petabyte-scale cloud data warehouse service in AWS."

56,AWS,Cloud & DevOps,"aws|amazon web services|ec2|s3|lambda|iam","Comprehensive cloud computing platform offering compute, storage, serverless, and AI services."
57,Microsoft Azure,Cloud & DevOps,"azure|microsoft azure|azure devops|azure cloud","Enterprise cloud computing service created by Microsoft for building, testing, and managing apps."
58,Google Cloud Platform,Cloud & DevOps,"gcp|google cloud|google cloud platform","Suite of cloud computing services running on the same infrastructure Google uses internally."
59,Docker,Cloud & DevOps,"docker|containerization|containers|dockerfile|docker-compose","Platform for packaging applications and dependencies into standardized containers."
60,Kubernetes,Cloud & DevOps,"kubernetes|k8s|helm","Container orchestration platform for automating deployment, scaling, and operations."
61,Terraform,Cloud & DevOps,"terraform|iac|infrastructure as code","Infrastructure as Code software tool to provision and manage cloud resources safely."
62,CI/CD,Cloud & DevOps,"ci/cd|continuous integration|continuous deployment|pipelines","Automated practice of building, testing, and deploying code changes continuously."
63,GitHub Actions,Cloud & DevOps,"github actions|gh actions","Automation tool to automate workflows, build, test, and deploy directly from GitHub."
64,Jenkins,Cloud & DevOps,"jenkins|jenkins pipeline","Open-source automation server enabling developers to reliably build and test software."
65,GitLab CI,Cloud & DevOps,"gitlab ci|gitlab-ci|gitlab pipeline","Integrated CI/CD platform within GitLab for automating delivery pipelines."
66,Linux,Cloud & DevOps,"linux|ubuntu|centos|debian|redhat|rhel|unix","Open-source Unix-like operating system foundation for server and cloud architectures."
67,Ansible,Cloud & DevOps,"ansible|configuration management","Open-source automation engine automating cloud provisioning, configuration, and deployment."
68,Nginx,Cloud & DevOps,"nginx|reverse proxy","High-performance HTTP server, reverse proxy, and load balancer."
69,Prometheus,Cloud & DevOps,"prometheus|metrics monitoring","Open-source systems monitoring and alerting toolkit designed for reliability."
70,Grafana,Cloud & DevOps,"grafana|observability","Open-source visualization and analytics software for monitoring metrics and operational logs."
71,Serverless,Cloud & DevOps,"serverless|serverless architecture|aws lambda","Cloud-native development model allowing developers to build and run apps without servers."

72,Machine Learning,AI / Machine Learning,"machine learning|ml|supervised learning|unsupervised learning","Scientific study of algorithms and statistical models that systems use to perform tasks without explicit instructions."
73,Deep Learning,AI / Machine Learning,"deep learning|dl|neural networks|artificial neural networks|ann","Subset of ML based on artificial neural networks with representation learning."
74,Natural Language Processing,AI / Machine Learning,"nlp|natural language processing|text analytics|text mining","Field of AI concerned with the interactions between computers and human natural language."
75,Computer Vision,AI / Machine Learning,"computer vision|cv|image processing|opencv","Interdisciplinary field dealing with how computers can gain high-level understanding from digital images."
76,Large Language Models,AI / Machine Learning,"llm|llms|large language models|transformers|gpt|gemini|claude","Advanced neural architectures trained on vast text data capable of generation, reasoning, and synthesis."
77,Scikit-learn,AI / Machine Learning,"scikit-learn|sklearn","Robust Python module for machine learning, data mining, classification, and regression."
78,TensorFlow,AI / Machine Learning,"tensorflow|tf|tf2|keras","Open-source end-to-end platform for machine learning and deep learning developed by Google."
79,PyTorch,AI / Machine Learning,"pytorch|torch","Open-source machine learning framework based on the Torch library developed by Meta."
80,Pandas,AI / Machine Learning,"pandas|pd","Python data analysis library providing fast, flexible data structures for tabular data."
81,NumPy,AI / Machine Learning,"numpy|np","Fundamental library for array computing and numerical linear algebra in Python."
82,SciPy,AI / Machine Learning,"scipy","Python library used for scientific, mathematical, and technical computing."
83,Hugging Face,AI / Machine Learning,"hugging face|huggingface|transformers library","Platform and community providing open-source models, datasets, and NLP pipelines."
84,GenAI,AI / Machine Learning,"genai|generative ai|prompt engineering|rag|retrieval augmented generation","AI architectures focused on creating new content, retrieval systems, and conversational agents."
85,LangChain,AI / Machine Learning,"langchain|langsmith|langgraph","Framework designed to simplify the creation of applications using large language models."
86,LlamaIndex,AI / Machine Learning,"llamaindex|gpt-index","Data framework for connecting custom data sources to large language models."
87,Reinforcement Learning,AI / Machine Learning,"reinforcement learning|rl|q-learning","Machine learning paradigm where agents learn optimal actions through trial-and-error reward signals."
88,Model Deployment,AI / Machine Learning,"model deployment|mlops|model serving|triton|mlflow","Process of deploying machine learning models into production environments for live inference."
89,Feature Engineering,AI / Machine Learning,"feature engineering|data preprocessing|feature selection","Process of using domain knowledge to extract features that make machine learning algorithms work."
90,Data Modeling,AI / Machine Learning,"data modeling|statistical modeling|predictive modeling","Process of creating a conceptual and statistical representation of data structures and relationships."

91,Git,Tools & Platforms,"git|version control|vcs","Distributed version control system for tracking changes in source code during development."
92,GitHub,Tools & Platforms,"github|gh","Cloud-based hosting service for software development and version control using Git."
93,GitLab,Tools & Platforms,"gitlab","Web-based DevOps lifecycle tool providing a Git repository manager and CI/CD pipeline."
94,Bitbucket,Tools & Platforms,"bitbucket","Git-based code hosting and collaboration tool designed for teams using Jira."
95,Jira,Tools & Platforms,"jira|atlassian jira","Issue tracking product developed by Atlassian for agile project management and issue tracking."
96,Confluence,Tools & Platforms,"confluence","Corporate wiki and team workspace for document collaboration and technical knowledge sharing."
97,Power BI,Tools & Platforms,"power bi|powerbi|microsoft power bi","Interactive data visualization business intelligence platform developed by Microsoft."
98,Tableau,Tools & Platforms,"tableau|tableau desktop","Visual analytics platform transforming the way people use data to solve problems."
99,Excel,Tools & Platforms,"excel|ms excel|microsoft excel|advanced excel|vlookup|pivot tables","Spreadsheet software developed by Microsoft featuring calculation, graphing tools, and pivot tables."
100,Figma,Tools & Platforms,"figma|figma design","Collaborative web-based interface design and wireframing vector graphics editor."
101,Adobe XD,Tools & Platforms,"adobe xd|xd","Vector design tool for web and mobile applications developed by Adobe."
102,Postman,Tools & Platforms,"postman|api testing","API platform for building and using APIs, streamlining testing and mock servers."
103,Swagger,Tools & Platforms,"swagger|openapi|swagger ui","Suite of API developer tools for generating interactive API documentation."
104,VS Code,Tools & Platforms,"vs code|vscode|visual studio code","Extensible lightweight code editor developed by Microsoft."
