Resume_ID,Category,Resume_str,Cleaned_Resume,Word_Count,Char_Count
1001,Data Science,"Senior Data Scientist with 5 years experience in predictive modeling, statistical analysis, and machine learning. Proficient in Python, SQL, Pandas, NumPy, Scikit-learn, and Tableau. Developed customer churn prediction models and deployed recommendation engines using FastAPI on AWS. Master of Science in Computer Science.",senior data scientist with 5 years experience in predictive modeling statistical analysis and machine learning proficient in python sql pandas numpy scikit-learn and tableau developed customer churn prediction models and deployed recommendation engines using fastapi on aws master of science in computer science,43,311
1002,Data Science,"Data Scientist specializing in deep learning, natural language processing (NLP), and time-series forecasting. Hands-on expertise in PyTorch, TensorFlow, Scikit-learn, and BigQuery. Built automated anomaly detection pipelines reducing false alerts by 32%. Bachelor's degree in Statistics.",data scientist specializing in deep learning natural language processing nlp and time series forecasting hands on expertise in pytorch tensorflow scikit-learn and bigquery built automated anomaly detection pipelines reducing false alerts by 32 bachelor s degree in statistics,38,275
1003,Data Science,"Lead Data Scientist experienced in A/B testing, feature engineering, and statistical modeling. Expert in Python, R, SQL, PostgreSQL, Apache Spark, and Snowflake. Implemented regression and classification algorithms for financial fraud detection. Published research in data mining conferences.",lead data scientist experienced in a b testing feature engineering and statistical modeling expert in python r sql postgresql apache spark and snowflake implemented regression and classification algorithms for financial fraud detection published research in data mining conferences,38,281
1004,Data Science,"Junior Data Scientist with strong foundational skills in Python, Pandas, Scikit-learn, SQL, and data visualization. Completed academic projects in sentiment analysis and regression forecasting. Solid knowledge of linear algebra and statistics.",junior data scientist with strong foundational skills in python pandas scikit-learn sql and data visualization completed academic projects in sentiment analysis and regression forecasting solid knowledge of linear algebra and statistics,31,236
1005,Data Science,"Professional Profile: Candidate in Data Science.
Summary: Senior Data Scientist with 5 years experience in predictive modeling, statistical analysis, and machine learning. Proficient in Python, SQL, Pandas, NumPy, Scikit-learn, and Tableau. Developed customer churn prediction models and deployed recommendation engines using FastAPI on AWS. Master of Science in Computer Science.
Key Core Competencies: Specialized knowledge in Data Science industry standards, project execution, and cross-functional team delivery.
Experience: Over 3 years delivering tangible business outcomes and maintaining software quality.
Education: Bachelor of Science / Master's degree in relevant discipline.",professional profile candidate in data science summary senior data scientist with 5 years experience in predictive modeling statistical analysis and machine learning proficient in python sql pandas numpy scikit-learn and tableau developed customer churn prediction models and deployed recommendation engines using fastapi on aws master of science in computer science key core competencies specialized knowledge in data science industry standards project execution and cross functional team delivery experience over 3 years delivering tangible business outcomes and maintaining software quality education bachelor of science master s degree in relevant discipline,89,662
1006,Data Science,"Resume for Data Science Specialist.
Objective: Seeking challenging opportunities to apply expertise in Data Science.
Skills and Technologies: Senior Data Scientist with 5 years experience in predictive modeling, statistical analysis, and machine learning. Proficient in Python, SQL, Pandas, NumPy, Scikit-learn, and Tableau. Developed customer churn prediction models and deployed recommendation engines using FastAPI on AWS. Master of Science in Computer Science.
Achievements: Implemented scalable solutions, automated routine tasks, and collaborated with cross-functional stakeholders.
Tools: Git, Jira, CI/CD, and industry-standard frameworks.",resume for data science specialist objective seeking challenging opportunities to apply expertise in data science skills and technologies senior data scientist with 5 years experience in predictive modeling statistical analysis and machine learning proficient in python sql pandas numpy scikit-learn and tableau developed customer churn prediction models and deployed recommendation engines using fastapi on aws master of science in computer science achievements implemented scalable solutions automated routine tasks and collaborated with cross functional stakeholders tools git jira ci/cd and industry standard frameworks,82,623
1007,Data Science,"Professional Profile: Candidate in Data Science.
Summary: Data Scientist specializing in deep learning, natural language processing (NLP), and time-series forecasting. Hands-on expertise in PyTorch, TensorFlow, Scikit-learn, and BigQuery. Built automated anomaly detection pipelines reducing false alerts by 32%. Bachelor's degree in Statistics.
Key Core Competencies: Specialized knowledge in Data Science industry standards, project execution, and cross-functional team delivery.
Experience: Over 4 years delivering tangible business outcomes and maintaining software quality.
Education: Bachelor of Science / Master's degree in relevant discipline.",professional profile candidate in data science summary data scientist specializing in deep learning natural language processing nlp and time series forecasting hands on expertise in pytorch tensorflow scikit-learn and bigquery built automated anomaly detection pipelines reducing false alerts by 32 bachelor s degree in statistics key core competencies specialized knowledge in data science industry standards project execution and cross functional team delivery experience over 4 years delivering tangible business outcomes and maintaining software quality education bachelor of science master s degree in relevant discipline,84,626
1008,Data Science,"Resume for Data Science Specialist.
Objective: Seeking challenging opportunities to apply expertise in Data Science.
Skills and Technologies: Data Scientist specializing in deep learning, natural language processing (NLP), and time-series forecasting. Hands-on expertise in PyTorch, TensorFlow, Scikit-learn, and BigQuery. Built automated anomaly detection pipelines reducing false alerts by 32%. Bachelor's degree in Statistics.
Achievements: Implemented scalable solutions, automated routine tasks, and collaborated with cross-functional stakeholders.
Tools: Git, Jira, CI/CD, and industry-standard frameworks.",resume for data science specialist objective seeking challenging opportunities to apply expertise in data science skills and technologies data scientist specializing in deep learning natural language processing nlp and time series forecasting hands on expertise in pytorch tensorflow scikit-learn and bigquery built automated anomaly detection pipelines reducing false alerts by 32 bachelor s degree in statistics achievements implemented scalable solutions automated routine tasks and collaborated with cross functional stakeholders tools git jira ci/cd and industry standard frameworks,77,587
1009,Data Science,"Professional Profile: Candidate in Data Science.
Summary: Lead Data Scientist experienced in A/B testing, feature engineering, and statistical modeling. Expert in Python, R, SQL, PostgreSQL, Apache Spark, and Snowflake. Implemented regression and classification algorithms for financial fraud detection. Published research in data mining conferences.
Key Core Competencies: Specialized knowledge in Data Science industry standards, project execution, and cross-functional team delivery.
Experience: Over 5 years delivering tangible business outcomes and maintaining software quality.
Education: Bachelor of Science / Master's degree in relevant discipline.",professional profile candidate in data science summary lead data scientist experienced in a b testing feature engineering and statistical modeling expert in python r sql postgresql apache spark and snowflake implemented regression and classification algorithms for financial fraud detection published research in data mining conferences key core competencies specialized knowledge in data science industry standards project execution and cross functional team delivery experience over 5 years delivering tangible business outcomes and maintaining software quality education bachelor of science master s degree in relevant discipline,84,632
1010,Data Science,"Resume for Data Science Specialist.
Objective: Seeking challenging opportunities to apply expertise in Data Science.
Skills and Technologies: Lead Data Scientist experienced in A/B testing, feature engineering, and statistical modeling. Expert in Python, R, SQL, PostgreSQL, Apache Spark, and Snowflake. Implemented regression and classification algorithms for financial fraud detection. Published research in data mining conferences.
Achievements: Implemented scalable solutions, automated routine tasks, and collaborated with cross-functional stakeholders.
Tools: Git, Jira, CI/CD, and industry-standard frameworks.",resume for data science specialist objective seeking challenging opportunities to apply expertise in data science skills and technologies lead data scientist experienced in a b testing feature engineering and statistical modeling expert in python r sql postgresql apache spark and snowflake implemented regression and classification algorithms for financial fraud detection published research in data mining conferences achievements implemented scalable solutions automated routine tasks and collaborated with cross functional stakeholders tools git jira ci/cd and industry standard frameworks,77,593
