domain_id,domain_name,description,education_expectation,experience_expectation,related_roles
1,Data Science,"Applies advanced statistical methods, predictive modeling, machine learning, and data engineering to derive actionable intelligence and solve complex organizational problems.","Bachelor's or Master's in Computer Science, Data Science, Statistics, Mathematics, or related quantitative field.","1-4+ years of data modeling, SQL data warehousing, feature engineering, and statistical analysis.","Data Scientist, Applied Scientist, AI Researcher, Quantitative Analyst, Machine Learning Engineer"
2,Machine Learning,"Designs, builds, trains, and optimizes machine learning architectures, deep learning models, and production inference pipelines for real-world automated decision systems.","Bachelor's or Master's in Computer Science, AI/ML, Electrical Engineering, or Mathematics.","2-5+ years developing ML models, implementing pipelines, tuning hyperparameters, and deploying models to production.","ML Engineer, Deep Learning Engineer, MLOps Engineer, Computer Vision Engineer, NLP Specialist"
3,Artificial Intelligence,"Researches and engineers state-of-the-art intelligent systems, large language models, agentic workflows, autonomous systems, and neural architectures.","Master's or Ph.D. in Computer Science, Cognitive Science, Artificial Intelligence, or Robotics.","2-6+ years in neural networks, reinforcement learning, LLM fine-tuning, prompt engineering, and agent systems.","AI Research Scientist, GenAI Engineer, LLM Architect, Cognitive Systems Developer"
4,Software Development,"Engineers robust, scalable, maintainable software systems, enterprise applications, clean APIs, and distributed architectures using modern design patterns.","Bachelor's in Computer Science, Software Engineering, Information Technology, or equivalent practical experience.","1-5+ years writing modular code, writing unit tests, utilizing version control, and practicing agile development.","Software Engineer, Application Developer, Systems Engineer, Software Architect"
5,Python Developer,"Specializes in building backend APIs, automation tooling, data processing pipelines, web services, and high-performance asynchronous systems using Python.","Bachelor's in Computer Science, IT, or equivalent experience.","1-4+ years in Python development, FastAPI/Django/Flask frameworks, ORM tools, and concurrent programming.","Backend Python Engineer, Django Developer, Automation Engineer, Python API Developer"
6,Java Developer,"Architects enterprise-scale, high-concurrency, secure distributed applications and microservices leveraging the Java/JVM ecosystem and Spring Boot framework.","Bachelor's in Computer Science, Software Engineering, or related technical field.","2-5+ years in Java, Spring Boot, Hibernate, microservices architecture, and enterprise integration patterns.","Java Software Engineer, Spring Boot Developer, Enterprise Java Architect, Backend Java Developer"
7,Web Development,"Builds engaging, responsive, standards-compliant web applications, modern interactive user experiences, and dynamic multi-platform digital products.","Associate's or Bachelor's in Web Development, CS, Design, or equivalent portfolio.","1-4+ years developing responsive websites, RESTful integrations, web standards, and cross-browser interfaces.","Web Developer, Webmaster, Full Stack Web Specialist, Frontend Engineer"
8,Frontend Development,"Crafts performant, intuitive, pixel-perfect user interfaces, single-page web applications, and accessible UI component systems using modern client-side technologies.","Bachelor's in Computer Science, Web Design, or equivalent proven frontend portfolio.","1-4+ years in modern JavaScript/TypeScript, React/Vue/Angular, state management, CSS architectures, and web performance.","Frontend Engineer, UI Developer, React Developer, Client-Side Architect"
9,Backend Development,"Constructs resilient server-side architectures, database schemas, authentication systems, high-throughput microservices, and reliable cloud-native APIs.","Bachelor's in Computer Science, Software Engineering, or related field.","2-5+ years in server-side languages (Go, Python, Java, Node.js), API design, database query optimization, and caching.","Backend Engineer, API Developer, Distributed Systems Engineer, Cloud Backend Specialist"
10,Full Stack Development,"Delivers comprehensive end-to-end applications bridging interactive frontend user interfaces, robust backend APIs, database management, and cloud deployments.","Bachelor's in Computer Science, Information Technology, or equivalent comprehensive portfolio.","2-5+ years managing both client and server development, database modeling, and DevOps deployment flows.","Full Stack Engineer, Full Stack Developer, Software Engineer (Full Stack)"
11,Data Analytics,"Transforms raw data into actionable dashboards, executive business intelligence reports, statistical metrics, and strategic optimization insights.","Bachelor's in Data Analytics, Statistics, Business Analytics, Economics, or Computer Science.","1-3+ years writing complex SQL queries, building BI dashboards (Power BI, Tableau), and KPI modeling.","Data Analyst, BI Analyst, Business Intelligence Developer, Operations Analyst"
12,Database Administration,"Maintains, tunes, secures, backs up, and scales mission-critical relational and NoSQL database management systems and clustering infrastructure.","Bachelor's in Information Technology, Computer Science, or equivalent database certifications.","2-5+ years administering PostgreSQL, MySQL, Oracle, or SQL Server, query profiling, index optimization, and replication.","Database Administrator (DBA), Database Engineer, Data Infrastructure Specialist"
13,Cyber Security,"Protects enterprise infrastructure, networks, applications, and confidential assets through vulnerability assessments, penetration testing, threat modeling, and incident response.","Bachelor's in Cybersecurity, Information Assurance, Computer Science, or relevant certifications (CISSP, CEH, Security+).","2-5+ years in security auditing, threat detection, SIEM tools, network defense, and zero-trust architectures.","Information Security Analyst, SOC Analyst, Penetration Tester, Cybersecurity Engineer"
14,Cloud Computing,"Designs, provisions, monitors, and optimizes elastic, highly available multi-cloud architectures across AWS, Microsoft Azure, or Google Cloud Platform.","Bachelor's in Computer Science, IT, Cloud Engineering, or equivalent cloud certifications (AWS SAA, Azure Solutions Architect).","2-5+ years designing cloud landing zones, serverless architectures, IAM policies, and cloud cost governance.","Cloud Architect, Cloud Engineer, Solutions Architect, AWS/Azure Infrastructure Engineer"
15,DevOps,"Accelerates continuous integration, continuous delivery (CI/CD), infrastructure as code (IaC), container orchestration, observability, and site reliability engineering.","Bachelor's in Computer Science, Systems Engineering, or equivalent production operations background.","2-5+ years managing CI/CD pipelines (GitHub Actions, Jenkins), Docker, Kubernetes, Terraform, and monitoring systems.","DevOps Engineer, Site Reliability Engineer (SRE), Platform Engineer, Build and Release Engineer"
16,Networking,"Plans, configures, manages, and troubleshoots enterprise network infrastructure, routing protocols, firewalls, VPNs, switches, and software-defined WANs.","Bachelor's or Associate's in Network Engineering, IT, or CCNA/CCNP certifications.","2-5+ years configuring Cisco/Juniper routing, VLANs, subnetting, BGP/OSPF, and network packet analysis.","Network Engineer, Network Administrator, Network Architect, Infrastructure Systems Engineer"
17,UI/UX Design,"Translates user needs and business goals into intuitive, aesthetically compelling user journeys, wireframes, interactive prototypes, and scalable design systems.","Bachelor's in Human-Computer Interaction (HCI), Graphic Design, Interaction Design, or verified portfolio.","1-4+ years conducting user research, wireframing in Figma, usability testing, and developing atomic design systems.","UI/UX Designer, Product Designer, Interaction Designer, UX Researcher"
18,Digital Marketing,"Drives customer acquisition, brand engagement, lead conversion, and organic search visibility through data-driven campaigns, SEO/SEM, and content strategies.","Bachelor's in Marketing, Communications, Business, or equivalent track record.","1-4+ years running multi-channel PPC campaigns, SEO audits, Google Analytics tracking, and conversion rate optimization.","Digital Marketer, Growth Marketer, SEO Specialist, Performance Marketing Manager"
19,Finance,"Performs financial modeling, investment valuation, budgeting forecasts, risk assessment, variance analysis, and strategic capital allocation.","Bachelor's in Finance, Accounting, Economics, or MBA/CFA credentials.","2-5+ years in financial statements, DCF models, portfolio analysis, compliance reporting, and ERP tools.","Financial Analyst, Corporate Finance Associate, Investment Analyst, Treasury Specialist"
